algo,serie,taille,temps
brute,testset1,1000,9035
brute,testset1,1000,9524
brute,testset1,1000,8817
brute,testset1,1000,9158
brute,testset1,1000,9532
brute,testset1,1000,9261
brute,testset1,1000,9126
brute,testset1,1000,11154
brute,testset1,1000,9507
brute,testset1,1000,12333
brute,testset1,16000,2.22019e+06
brute,testset1,16000,2.21134e+06
brute,testset1,16000,2.19689e+06
brute,testset1,16000,2.20141e+06
brute,testset1,16000,2.20259e+06
brute,testset1,16000,2.1948e+06
brute,testset1,16000,2.19196e+06
brute,testset1,16000,2.21336e+06
brute,testset1,16000,2.20508e+06
brute,testset1,16000,2.19434e+06
brute,testset1,20000,3.44637e+06
brute,testset1,20000,3.44191e+06
brute,testset1,20000,3.44853e+06
brute,testset1,20000,3.42297e+06
brute,testset1,20000,3.43181e+06
brute,testset1,20000,3.44815e+06
brute,testset1,20000,3.44354e+06
brute,testset1,20000,3.4441e+06
brute,testset1,20000,3.44299e+06
brute,testset1,20000,3.44512e+06
brute,testset1,2000,35994
brute,testset1,2000,37456
brute,testset1,2000,35264
brute,testset1,2000,35646
brute,testset1,2000,36039
brute,testset1,2000,38937
brute,testset1,2000,37218
brute,testset1,2000,37374
brute,testset1,2000,35619
brute,testset1,2000,36024
brute,testset1,32000,8.81728e+06
brute,testset1,32000,8.88893e+06
brute,testset1,32000,8.81577e+06
brute,testset1,32000,8.84011e+06
brute,testset1,32000,8.87862e+06
brute,testset1,32000,8.87166e+06
brute,testset1,32000,8.75459e+06
brute,testset1,32000,8.84408e+06
brute,testset1,32000,8.82437e+06
brute,testset1,32000,8.94964e+06
brute,testset1,4000,137410
brute,testset1,4000,139606
brute,testset1,4000,139231
brute,testset1,4000,141061
brute,testset1,4000,140196
brute,testset1,4000,140015
brute,testset1,4000,138473
brute,testset1,4000,137923
brute,testset1,4000,139556
brute,testset1,4000,141487
brute,testset1,64000,3.51036e+07
brute,testset1,64000,3.54249e+07
brute,testset1,64000,3.53282e+07
brute,testset1,64000,3.52965e+07
brute,testset1,64000,3.51211e+07
brute,testset1,64000,3.51172e+07
brute,testset1,64000,3.53154e+07
brute,testset1,64000,3.50896e+07
brute,testset1,64000,3.5083e+07
brute,testset1,64000,3.53189e+07
brute,testset1,8000,548795
brute,testset1,8000,549273
brute,testset1,8000,551758
brute,testset1,8000,552078
brute,testset1,8000,546323
brute,testset1,8000,545463
brute,testset1,8000,549649
brute,testset1,8000,550119
brute,testset1,8000,548095
brute,testset1,8000,553605
seuil,testset1,1000,525
seuil,testset1,1000,588
seuil,testset1,1000,709
seuil,testset1,1000,533
seuil,testset1,1000,518
seuil,testset1,1000,530
seuil,testset1,1000,530
seuil,testset1,1000,520
seuil,testset1,1000,583
seuil,testset1,1000,520
seuil,testset1,16000,9252
seuil,testset1,16000,9752
seuil,testset1,16000,9508
seuil,testset1,16000,10283
seuil,testset1,16000,10793
seuil,testset1,16000,11251
seuil,testset1,16000,9177
seuil,testset1,16000,11162
seuil,testset1,16000,11901
seuil,testset1,16000,10746
seuil,testset1,20000,13717
seuil,testset1,20000,13251
seuil,testset1,20000,13107
seuil,testset1,20000,11759
seuil,testset1,20000,11710
seuil,testset1,20000,13955
seuil,testset1,20000,12173
seuil,testset1,20000,13806
seuil,testset1,20000,11503
seuil,testset1,20000,13175
seuil,testset1,2000,1092
seuil,testset1,2000,1274
seuil,testset1,2000,1081
seuil,testset1,2000,1084
seuil,testset1,2000,1083
seuil,testset1,2000,1126
seuil,testset1,2000,1088
seuil,testset1,2000,1098
seuil,testset1,2000,1104
seuil,testset1,2000,1096
seuil,testset1,32000,18825
seuil,testset1,32000,20763
seuil,testset1,32000,20084
seuil,testset1,32000,19947
seuil,testset1,32000,19936
seuil,testset1,32000,18641
seuil,testset1,32000,19051
seuil,testset1,32000,20595
seuil,testset1,32000,19811
seuil,testset1,32000,20805
seuil,testset1,4000,2188
seuil,testset1,4000,2121
seuil,testset1,4000,2191
seuil,testset1,4000,2197
seuil,testset1,4000,2798
seuil,testset1,4000,2166
seuil,testset1,4000,2193
seuil,testset1,4000,2166
seuil,testset1,4000,2206
seuil,testset1,4000,2166
seuil,testset1,64000,38939
seuil,testset1,64000,39124
seuil,testset1,64000,39439
seuil,testset1,64000,39832
seuil,testset1,64000,38938
seuil,testset1,64000,39494
seuil,testset1,64000,39478
seuil,testset1,64000,39695
seuil,testset1,64000,39217
seuil,testset1,64000,38850
seuil,testset1,8000,5960
seuil,testset1,8000,4342
seuil,testset1,8000,4453
seuil,testset1,8000,5368
seuil,testset1,8000,4327
seuil,testset1,8000,5360
seuil,testset1,8000,4274
seuil,testset1,8000,4209
seuil,testset1,8000,4408
seuil,testset1,8000,4202
