algo,serie,taille,temps
seuil,testset1,1000,435
seuil,testset1,1000,417
seuil,testset1,1000,413
seuil,testset1,1000,413
seuil,testset1,1000,469
seuil,testset1,1000,438
seuil,testset1,1000,519
seuil,testset1,1000,458
seuil,testset1,1000,429
seuil,testset1,1000,412
seuil,testset1,16000,9126
seuil,testset1,16000,8562
seuil,testset1,16000,8690
seuil,testset1,16000,8759
seuil,testset1,16000,8463
seuil,testset1,16000,8490
seuil,testset1,16000,9728
seuil,testset1,16000,9193
seuil,testset1,16000,8323
seuil,testset1,16000,8497
seuil,testset1,20000,11762
seuil,testset1,20000,11561
seuil,testset1,20000,12231
seuil,testset1,20000,10930
seuil,testset1,20000,12393
seuil,testset1,20000,13074
seuil,testset1,20000,11134
seuil,testset1,20000,11984
seuil,testset1,20000,11736
seuil,testset1,20000,12461
seuil,testset1,2000,937
seuil,testset1,2000,876
seuil,testset1,2000,912
seuil,testset1,2000,865
seuil,testset1,2000,953
seuil,testset1,2000,929
seuil,testset1,2000,825
seuil,testset1,2000,914
seuil,testset1,2000,1073
seuil,testset1,2000,831
seuil,testset1,32000,18407
seuil,testset1,32000,18619
seuil,testset1,32000,19468
seuil,testset1,32000,20288
seuil,testset1,32000,17908
seuil,testset1,32000,18812
seuil,testset1,32000,19227
seuil,testset1,32000,18458
seuil,testset1,32000,18245
seuil,testset1,32000,17990
seuil,testset1,4000,2679
seuil,testset1,4000,1945
seuil,testset1,4000,1972
seuil,testset1,4000,1952
seuil,testset1,4000,2234
seuil,testset1,4000,1813
seuil,testset1,4000,2992
seuil,testset1,4000,1868
seuil,testset1,4000,1858
seuil,testset1,4000,1913
seuil,testset1,64000,37277
seuil,testset1,64000,37387
seuil,testset1,64000,37403
seuil,testset1,64000,36791
seuil,testset1,64000,37693
seuil,testset1,64000,39434
seuil,testset1,64000,37090
seuil,testset1,64000,38010
seuil,testset1,64000,37840
seuil,testset1,64000,37070
seuil,testset1,8000,4429
seuil,testset1,8000,5168
seuil,testset1,8000,5007
seuil,testset1,8000,5221
seuil,testset1,8000,4149
seuil,testset1,8000,5614
seuil,testset1,8000,3948
seuil,testset1,8000,5575
seuil,testset1,8000,4482
seuil,testset1,8000,3887
