algo,taille,temps,profit
dynamique,10000,161,39974
dynamique,10000,157,39972
dynamique,10000,156,39970
dynamique,10000,157,39981
dynamique,10000,156,39974
dynamique,10000,156,39972
dynamique,10000,156,39982
dynamique,10000,156,39988
dynamique,10000,157,39948
dynamique,10000,156,39986
dynamique,1000,1,3991
dynamique,1000,1,3987
dynamique,1000,1,3974
dynamique,1000,2,3979
dynamique,1000,2,3993
dynamique,1000,2,3998
dynamique,1000,2,3993
dynamique,1000,2,3987
dynamique,1000,4,3984
dynamique,1000,5,3981
dynamique,100,0,394
dynamique,100,0,392
dynamique,100,0,393
dynamique,100,0,395
dynamique,100,0,395
dynamique,100,0,395
dynamique,100,0,390
dynamique,100,0,391
dynamique,100,0,392
dynamique,100,0,395
dynamique,10,0,38
dynamique,10,0,34
dynamique,10,0,35
dynamique,10,0,34
dynamique,10,0,34
dynamique,10,0,35
dynamique,10,0,39
dynamique,10,0,36
dynamique,10,0,36
dynamique,10,0,38
dynamique,20000,647,79973
dynamique,20000,619,79960
dynamique,20000,622,79973
dynamique,20000,626,79970
dynamique,20000,621,79969
dynamique,20000,620,79947
dynamique,20000,621,79947
dynamique,20000,623,79943
dynamique,20000,623,79936
dynamique,20000,620,79972
dynamique,30000,1410,119945
dynamique,30000,1396,119962
dynamique,30000,1393,119954
dynamique,30000,1390,119954
dynamique,30000,1391,119965
dynamique,30000,1395,119965
dynamique,30000,1390,119966
dynamique,30000,1400,119960
dynamique,30000,1394,119960
dynamique,30000,1395,119959
dynamique,40000,2483,159964
dynamique,40000,2487,159980
dynamique,40000,2477,159939
dynamique,40000,2484,159946
dynamique,40000,2486,159952
dynamique,40000,2487,159942
dynamique,40000,2479,159988
dynamique,40000,2475,159981
dynamique,40000,2485,159947
dynamique,40000,2484,159964
dynamique,4000,25,15976
dynamique,4000,25,15979
dynamique,4000,25,15973
dynamique,4000,25,15982
dynamique,4000,25,15975
dynamique,4000,25,15971
dynamique,4000,25,15979
dynamique,4000,25,15980
dynamique,4000,25,15973
dynamique,4000,25,15968
dynamique,400,0,1590
dynamique,400,0,1581
dynamique,400,0,1577
dynamique,400,0,1591
dynamique,400,0,1596
dynamique,400,0,1596
dynamique,400,0,1591
dynamique,400,0,1583
dynamique,400,0,1596
dynamique,400,0,1586
glouton,10000,1015,37652
glouton,10000,985,34286
glouton,10000,983,34487
glouton,10000,985,37974
glouton,10000,983,37272
glouton,10000,984,36077
glouton,10000,989,35057
glouton,10000,982,38709
glouton,10000,983,36748
glouton,10000,983,38288
glouton,1000,10,3515
glouton,1000,10,3696
glouton,1000,10,3848
glouton,1000,10,3426
glouton,1000,10,3792
glouton,1000,10,3823
glouton,1000,11,3974
glouton,1000,31,3891
glouton,1000,14,3705
glouton,1000,15,3524
glouton,100,0,343
glouton,100,0,370
glouton,100,0,363
glouton,100,0,356
glouton,100,0,377
glouton,100,0,389
glouton,100,0,360
glouton,100,0,391
glouton,100,0,376
glouton,100,0,338
glouton,10,0,38
glouton,10,0,33
glouton,10,0,31
glouton,10,0,30
glouton,10,0,31
glouton,10,0,33
glouton,10,0,39
glouton,10,0,36
glouton,10,0,31
glouton,10,0,38
glouton,20000,3962,74022
glouton,20000,3960,73714
glouton,20000,3956,77466
glouton,20000,3960,75025
glouton,20000,3948,79745
glouton,20000,3954,77073
glouton,20000,3954,78992
glouton,20000,3957,68767
glouton,20000,3969,77234
glouton,20000,3948,74820
glouton,30000,8895,109928
glouton,30000,8908,111957
glouton,30000,8895,104510
glouton,30000,8885,118238
glouton,30000,8897,109116
glouton,30000,8890,113010
glouton,30000,8899,102315
glouton,30000,8921,106252
glouton,30000,8885,117245
glouton,30000,8895,118011
glouton,40000,15805,159925
glouton,40000,15960,151899
glouton,40000,15778,156892
glouton,40000,15773,159669
glouton,40000,15746,136679
glouton,40000,15751,139256
glouton,40000,15732,159814
glouton,40000,15745,157930
glouton,40000,15766,157136
glouton,40000,15760,140992
glouton,4000,162,13913
glouton,4000,160,15371
glouton,4000,161,13656
glouton,4000,160,14240
glouton,4000,160,15649
glouton,4000,160,15262
glouton,4000,160,15938
glouton,4000,160,15701
glouton,4000,161,13721
glouton,4000,159,14699
glouton,400,1,1518
glouton,400,1,1541
glouton,400,1,1491
glouton,400,2,1437
glouton,400,1,1572
glouton,400,1,1514
glouton,400,2,1469
glouton,400,2,1583
glouton,400,2,1568
glouton,400,2,1483
